desc,physicalObject,OSMtidyStage
Buildings; Prison and offenders institutes,Prisons and jails,fromFilters
Amenity; Street art or art installation,Public art,fromFilters
Amenity; Water point,Public drinking water points,fromFilters
Amenity; Bike monitoring,Public information boards,fromFilters
Amenity; Clock,Public information boards,fromFilters
Amenity; Information board,Public information boards,fromFilters
Amenity; Real time passenger information display,Public information boards,fromFilters
Amenity; Transport timetable,Public information boards,fromFilters
Point of interest; Information board,Public information boards,fromFilters
Amenity; Emergency phone,Public telephones,fromFilters
Amenity; Public telephone or telephone box,Public telephones,fromFilters
Amenity; Public toilets,Public toilets,fromFilters
Business and commerce; Publishing,Publishing offices,fromFilters
Manufacturing; Bookbinder,Publishing offices,fromFilters
Traffic management; Switches and signalling,Rail signalling and switches,fromFilters
Business and commerce; Letting and estate agents,Real estate management offices,fromFilters
Business and commerce; Property development and construction,Real estate management offices,fromFilters
Business and commerce; Property management and maintenance,Real estate management offices,fromFilters
Social facility; Resident's associations and housing co-operatives,Real estate management offices,fromFilters
Waste management; Recycling centre,Recycling centres,fromFilters
Waste management; Scrap yard and materials recovery,Recycling centres,fromFilters
Governance; Registry,Registrar offices,fromFilters
Religious sites and buildings,Religious buildings,fromFilters
Religious sites and buildings; Administrative building,Religious buildings,fromFilters
Religious sites and buildings; Chaplaincy,Religious buildings,fromFilters
Religious sites and buildings; Convents and monasteries,Religious buildings,fromFilters
Religious sites and buildings; Missionary,Religious buildings,fromFilters
Religious sites and buildings; Place of worship,Religious buildings,fromFilters
Buildings; Removal,Removal services,fromFilters
Trades and services; Home removal,Removal services,fromFilters
Buildings; Clinical science,Research and consulting services,fromFilters
Buildings; Research,Research and consulting services,fromFilters
Business and commerce; Architect,Research and consulting services,fromFilters
Business and commerce; Architects and urban planners,Research and consulting services,fromFilters
Business and commerce; Consultancy,Research and consulting services,fromFilters
Business and commerce; Product development,Research and consulting services,fromFilters
Business and commerce; Research and development,Research and consulting services,fromFilters
Water; Reservoir,Reservoirs,fromFilters
Outdoors and natural environment; Residential gardens,Residential gardens,fromFilters
Amenity; Garages and sheds,Residential properties,fromFilters
Public transport; Ferry terminals and marinas facilities,Residential properties,fromFilters
Residential,Residential properties,fromFilters
Residential; Ambassador,Residential properties,fromFilters
Residential; Apartments,Residential properties,fromFilters
Residential; Harbour Master's House,Residential properties,fromFilters
Residential; House boat,Residential properties,fromFilters
Residential; Houses,Residential properties,fromFilters
Residential; School house,Residential properties,fromFilters
Residential; Student accomodation,Residential properties,fromFilters
Business and commerce; Online retailer,Headquarters (other),fromFilters
Business and commerce; Retail company offices,Headquarters (other),fromFilters
Business and commerce; Retail conglomerate,Headquarters (other),fromFilters
Water; Rivers and burns,Rivers and streams,fromFilters
Amenity; Low emissions zone signage,Road traffic lights and signage,fromFilters
Amenity; Milestones and stone markers,Road traffic lights and signage,fromFilters
Amenity; Waymarker,Road traffic lights and signage,fromFilters
Traffic management; Mirror,Road traffic lights and signage,fromFilters
Traffic management; Navigation aids and landing lights,Road traffic lights and signage,fromFilters
Traffic management; Signage,Road traffic lights and signage,fromFilters
Historic; Railway,Roads (major) and railways,fromFilters
Transport infrastructure; Funicular rail,Roads (major) and railways,fromFilters
Transport infrastructure; High speed rail,Roads (major) and railways,fromFilters
Transport infrastructure; Monorail,Roads (major) and railways,fromFilters
Transport infrastructure; Motorway,Roads (major) and railways,fromFilters
Transport infrastructure; Primary Road,Roads (major) and railways,fromFilters
Transport infrastructure; Rail,Roads (major) and railways,fromFilters
Transport infrastructure; Rail line,Roads (major) and railways,fromFilters
Transport infrastructure; Trunk road,Roads (major) and railways,fromFilters
Transport infrastructure; Cycle path,Roads (minor) and pathways,fromFilters
Transport infrastructure; Passing place,Roads (minor) and pathways,fromFilters
Transport infrastructure; Pathway,Roads (minor) and pathways,fromFilters
Transport infrastructure; Residential road,Roads (minor) and pathways,fromFilters
Transport infrastructure; Secondary road,Roads (minor) and pathways,fromFilters
Transport infrastructure; Service access,Roads (minor) and pathways,fromFilters
Transport infrastructure; Tertiary road,Roads (minor) and pathways,fromFilters
Transport infrastructure; Track,Roads (minor) and pathways,fromFilters
Transport infrastructure; Unclassified road,Roads (minor) and pathways,fromFilters
School,Schools,fromFilters
School; Junior,Schools,fromFilters
School; Middle,Schools,fromFilters
School; Primary,Schools,fromFilters
School; Secondary,Schools,fromFilters
School; Senior,Schools,fromFilters
School; Sixth form college,Schools,fromFilters
Outdoors and natural environment; Tidal range and coastline,Seas and tidal range,fromFilters
Business and commerce; Safety and security,Security services,fromFilters
Retail; Safety and security,Security services,fromFilters
Trades and services; Safety and security,Security services,fromFilters
Trades and services; Security,Security services,fromFilters
Amenity; Self-service parcel locker,Self-storage,fromFilters
Trades and services; Storage facility,Self-storage,fromFilters
Healthcare; Sexual health and family planning,Sexual health clinics,fromFilters
Business and commerce; Retail park,Shopping centres,fromFilters
Retail; Shopping centre,Shopping centres,fromFilters
Food retail; Bakery,Smaller food markets,fromFilters
Food retail; Butcher,Smaller food markets,fromFilters
Food retail; Cheesemonger,Smaller food markets,fromFilters
Food retail; Confectionery,Smaller food markets,fromFilters
Food retail; Convenience store,Smaller food markets,fromFilters
Food retail; Fish and wholesale,Smaller food markets,fromFilters
Food retail; Greengrocer,Smaller food markets,fromFilters
Food retail; Health,Smaller food markets,fromFilters
Food retail; Patisserie and speciality cakes,Smaller food markets,fromFilters
Food retail; Speciality and luxury goods,Smaller food markets,fromFilters
Food retail; World foods,Smaller food markets,fromFilters
Social facility,Social work offices,fromFilters
Social facility; Children's centre,Social work offices,fromFilters
"Social facility; Government, social care / work",Social work offices,fromFilters
Retail; Sports and outdoor,Sports and outdoor retail,fromFilters
Attractions; Boathouse,Sports clubhouses,fromFilters
Sports and games; Clubhouse,Sports clubhouses,fromFilters
Sports and games; Clubhouse (golf),Sports clubhouses,fromFilters
Sports and games; Clubhouse (water sports),Sports clubhouses,fromFilters
"Gyms & sport, fitness and leisure centres",Sports facilities (indoor),fromFilters
Sports and games; Activity centre,Sports facilities (indoor),fromFilters
"Sports and games; Gyms & sport, fitness and leisure centres",Sports facilities (indoor),fromFilters
Sports and games; Indoor facility,Sports facilities (indoor),fromFilters
Sports and games; Indoor facility (climbing),Sports facilities (indoor),fromFilters
Sports and games; Swimming pool,Sports facilities (indoor),fromFilters
Sports and games; Outdoor solid facility,"Sports facilities (outdoor, impermeable)",fromFilters
Sports and games; Clubhouse and facilities,"Sports facilities (outdoor, impermeable, with club)",fromFilters
Sports and games; Clubhouse and outdoor facility,"Sports facilities (outdoor, impermeable, with club)",fromFilters
Sports and games; Clubhouse and outdoor solid facility,"Sports facilities (outdoor, impermeable, with club)",fromFilters
Golf; Green,"Sports facilities (outdoor, permeable)",fromFilters
Golf; Practice grounds,"Sports facilities (outdoor, permeable)",fromFilters
Sports and games; Fitness stations and outdoor gyms,"Sports facilities (outdoor, permeable)",fromFilters
Sports and games; Outdoor facility,"Sports facilities (outdoor, permeable)",fromFilters
Sports and games; Outdoor facility (golf),"Sports facilities (outdoor, permeable)",fromFilters
Sports and games; Recreation ground,"Sports facilities (outdoor, permeable)",fromFilters
Attractions; Fishery and fishing club,Fishing clubs,fromFilters
Sports and games; Clubhouse and outdoor facility (golf),"Sports facilities (outdoor, permeable, with club)",fromFilters
Outdoors and natural environment; Spring (water),Springs and wells,fromFilters
Sports and games; Horse riding centres,Stables,fromFilters
Sports and games; Horse stables and paddocks,Stables,fromFilters
Water; Detention and retention basins,Stormwater basins,fromFilters
Amenity; Street lamp,Street lights,fromFilters
Amenity; Flood defence,Structural defences,fromFilters
Water; Spillway,Structural defences,fromFilters
Public transport; Subway stop,Subway stations,fromFilters
Food retail; Supermarket,Supermarkets,fromFilters
Retail; Market,Supermarkets,fromFilters
Amenity; Automatic number plate reader,Surveillance cameras,fromFilters
Amenity; Surveillance camera or CCTV,Surveillance cameras,fromFilters
Traffic management; Traffic camera (live),Surveillance cameras,fromFilters
Hospitality; Fast food and takeaways,Takeaways and fast food,fromFilters
Public transport; Taxi rank,Taxi ranks,fromFilters
Telecommunications; Relay station,Telecommunications towers,fromFilters
Telecommunications; Tower,Telecommunications towers,fromFilters
Telecommunications; Data centre,IT software and services,fromFilters
Telecommunications; Exchange,Telephone exchanges,fromFilters
Telecommunications; Telephone exchanges,Telephone exchanges,fromFilters
Amenity; Toll booth,Toll booths and weighbridges,fromFilters
Transport infrastructure; Check points and weighbridges,Toll booths and weighbridges,fromFilters
Business and commerce; Tourist information offices and tourist boards,Tourism offices,fromFilters
Traffic management; Calming,Traffic calming measures,fromFilters
Traffic management; Speed camera,Traffic calming measures,fromFilters
Historic; Railway station or platform,Train stations (major),fromFilters
Public transport; Rail station,Train stations (major),fromFilters
Training; Occupational,Training centres,fromFilters
